OpenTime,Open,High,Low,Close,Volume,SMA_10,RSI,MACD,MACD_Signal
11/02/2024,47751.08,48592.66,47557.16,48299.99,29958.80837,44742.372,85.02755,1185.14705,516.9648158
12/02/2024,48300,50334.82,47710.01,49917.27,59009.96705,45414.099,85.58436,1486.13108,710.7980694
13/02/2024,49917.28,50368.61,48300.95,49699.59,55551.56706,46082.949,86.93047,1687.64404,906.1672627
14/02/2024,49699.6,52043.71,49225.01,51795.17,57046.37401,47004.178,92.33057,1993.46092,1123.625994
15/02/2024,51795.17,52816.62,51314,51880,53816.03055,47921.308,92.0242,2217.1106,1342.322915
16/02/2024,51880.01,52572.08,51566,52124.11,37772.25318,48823.824,92.11985,2386.54166,1551.166663
17/02/2024,52124.1,52162.82,50625,51642.64,25674.00622,49553.128,89.6442,2453.68187,1731.669704
18/02/2024,51642.64,52377,51163.28,52137.67,21992.10363,50238.03,93.61687,2517.81198,1888.898159
19/02/2024,52137.68,52488.77,51677,51774.73,29534.99432,50702.226,90.50876,2510.41088,2013.200704
20/02/2024,51774.74,52985,50760.37,52258.82,49614.47318,51152.999,90.58769,2514.62049,2113.484661
21/02/2024,52258.82,52366.8,50625,51849.39,43079.40049,51507.939,85.9088,2456.60089,2182.107908
22/02/2024,51849.38,52065.78,50940.78,51288.42,35309.44574,51645.054,79.80586,2338.39875,2213.366076
23/02/2024,51288.42,51548.54,50521,50744.15,30545.79544,51749.51,70.60138,2175.72426,2205.837714
24/02/2024,50744.15,51698,50585,51568.22,16560.4211,51726.815,71.27566,2089.21594,2182.513359
25/02/2024,51568.21,51958.55,51279.8,51728.85,18721.63159,51711.7,69.97616,2010.44383,2148.099453
26/02/2024,51728.85,54910,50901.44,54476.47,51256.72199,51946.936,73.47025,2145.0001,2147.479583
27/02/2024,54476.48,57588.15,54450.13,57037.34,67194.98562,52486.406,80.43217,2430.26317,2204.0363
28/02/2024,57037.35,64000,56691.85,62432.1,118763.4698,53515.849,84.6365,3056.41579,2374.512198
29/02/2024,62432.11,63676.35,60364.7,61130.98,78425.07603,54451.474,77.91252,3408.36721,2581.2832
01/03/2024,61130.99,63114.23,60777,62387.9,47737.93473,55464.382,79.18471,3745.53795,2814.13415
02/03/2024,62387.9,62433.19,61561.12,61987.28,25534.73659,56478.171,79.55047,3935.06058,3038.319436
03/03/2024,61987.28,63231.88,61320,63113.97,28994.90903,57660.726,80.26275,4128.58138,3256.371825
04/03/2024,63113.97,68499,62300,68245.71,84835.16005,59410.882,85.95687,4642.52045,3533.60155
05/03/2024,68245.71,69000,59005,63724.01,132696.7813,60626.461,71.27801,4631.56764,3753.194768
06/03/2024,63724.01,67641.1,62779.14,66074.04,78738.85491,62060.98,74.62545,4757.67176,3954.090167
07/03/2024,66074.04,67980,65551,66823.17,53059.8869,63295.65,76.7194,4862.01246,4135.674626
08/03/2024,66823.18,69990,66082.66,68124.19,74261.93284,64404.335,79.13482,4992.1384,4306.96738
09/03/2024,68124.2,68541.1,67861.1,68313.27,19872.89743,64992.452,78.68096,5052.28175,4456.030255
10/03/2024,68313.28,69887.61,68094.75,68955.88,38404.66835,65774.942,79.02723,5093.08909,4583.442022
11/03/2024,68955.88,72800,67024.96,72078.1,75292.82573,66743.962,79.28869,5316.08574,4729.970765
